,value,n_gal,h_cdt,h_riv,indicator,prior_var,post_var,prior_sd,post_sd,value_90,q_pred
alpha_hc_36,43.535991655,15.86157334183672,hc,17.16120498614958,alpha,571.8246656159727,305.6104661985477,23.9128556558177,17.481718056259453,61.86695452831468,59.74019748
alpha_hc_37,42.317547006999995,16.001614370748314,hc,17.16120498614958,alpha,716.5896877821069,516.406026344301,26.769192886265863,22.724568782361988,60.64850988031468,56.587521960000004
alpha_hc_38,41.349834066999996,16.111142113095216,hc,17.16120498614958,alpha,699.8488164084359,546.9329557531213,26.454655855036858,23.386597780633277,59.68079694031468,54.12177727199999
alpha_hc_39,39.730623858,16.27390433673468,hc,17.16120498614958,alpha,757.6806706871661,523.6874499018066,27.52599990349426,22.884218358987198,58.061586731314684,50.457590424
alpha_hc_40,37.139943725,16.398542623299317,hc,17.16120498614958,alpha,695.8418620922412,517.7659268185192,26.37881464532175,22.75447047985339,55.470906598314684,47.651669496000004
alpha_hc_41,37.150072575,16.548151785714264,hc,17.16120498614958,alpha,641.7227949747496,494.5223380006983,25.332248123187757,22.23785821523058,55.481035448314685,44.283591107999996
alpha_hc_42,33.377691479,16.6831726190476,hc,17.16120498614958,alpha,705.1513069643808,310.2931291227739,26.554685216819664,17.615139202480744,51.70865435231468,41.243932872
alpha_hc_43,29.143657900999997,16.836485969387752,hc,17.16120498614958,alpha,1125.1924680316195,540.892850565181,33.54388868380676,23.25710322815765,47.47462077431468,37.792464083999995
alpha_hc_44,25.915046255,16.984822172619058,hc,17.16120498614958,alpha,463.2227264730007,222.6420537091163,21.522609657590333,14.921194781555407,44.24600912831468,34.4530434204
alpha_hc_45,25.277988677,17.10598405612242,hc,17.16120498614958,alpha,1297.8061559884995,954.2666088155701,36.02507676589322,30.891206011024725,43.608951550314686,31.722885507599997
alpha_hc_46,25.562337131,17.173484587585026,hc,17.16120498614958,alpha,1035.1335867115724,937.9455216307125,32.17349198815031,30.625896258407074,43.89330000431468,30.203275928400004
alpha_hc_47,29.341826764,17.328965986394557,hc,17.16120498614958,alpha,1749.5636105914632,1478.3785715321476,41.82778515044112,38.44968883530981,47.67278963731468,26.7029919396
alpha_hc_48,28.92753062,17.507526573129258,hc,17.16120498614958,alpha,1518.7197390466374,1300.7152122272194,38.970754920153105,36.06542959992601,47.25849349331468,22.683136572000002
alpha_hc_49,27.674344989,17.68251041666667,hc,17.16120498614958,alpha,2963.2046540099013,2264.694972938672,54.43532542393681,47.588811425992475,46.00530786231468,18.7438025376
iota_ag_lc_00,31.189342664,13.533901041666658,lc,16.51120498614958,iota_ag,112.7982160464483,42.6656177604948,10.62065045307717,6.531892356774934,43.55224050074847,97.503722532
iota_ag_lc_01,31.699173736,13.657157312925175,lc,16.51120498614958,iota_ag,233.49096541546047,67.9719574586911,15.280411166439876,8.244510747078392,44.062071572748465,94.728913056
